id,Lat,Lon
"1",43.11649148574528567,131.94821513242607125
"2",43.11733529467515780,131.95096607327860738
"3",43.11886550813478891,131.95077098943457372
"4",43.17903182904286297,131.91630305155615588
"5",43.12405914482786073,131.92765162090910280
"6",43.12059118603945507,131.90991588170012960
"7",43.12611917576786169,131.94746980167292350
"8",43.11624107353212310,131.92578407448232269
"9",43.13704288969316991,131.97994725470010735
"10",43.15977541946544704,131.95445904295414152
"11",43.09424032340920974,131.95130846930476309
"12",43.11406492975355320,131.95612881594723831
"13",43.11457284399725864,131.95575758835198599
"14",43.10414632148730618,131.95530308923889606
"15",43.11695855656788723,131.94924475769806804
"16",43.11628973347772131,131.94917739259014411
"17",43.09175393860481762,131.97796089907646433
"18",43.12338700801328173,131.95042473338369859
"19",43.09113179908124636,131.94804306698068785
"20",43.12121165197050487,131.95835868896924126
"21",43.09129596674616636,131.92207653592578254
"22",43.11607039141713216,131.88989544104202878
"23",42.97491194120227931,131.48781728027492477
"24",42.97336505500407355,131.48644861864488576
"25",42.97127654445799294,131.48635220110801924
"26",42.97045563972545068,131.48561553710803196
"27",42.97016958070295090,131.48496591399558042
"28",42.86930494556558813,131.37069148648575379
"29",43.18789502967631222,131.93399390878684585
"30",43.11541735486864013,131.92237141983881088
"31",43.14876572601869498,131.91891665648424237
"32",43.11730671377341650,131.90972865478502740
"33",43.12798480159077741,131.93334906066831991
"34",43.11579099015285266,131.90764010051174182
"35",43.12042901346834611,131.94548763631675570
"36",43.11466684406431682,131.87629998611970450
"37",43.09478472000018456,131.91605617556515995
"38",43.12142624319663753,131.95599786791342467
"39",43.41892143067207854,131.75215094852694619
"40",43.69639447653559472,131.95726515761239739
"41",43.17949709847291473,131.63877374379467255
"42",43.51633764449839958,132.43954237586996214
"43",43.16890350181007818,131.72626890466099780
"44",43.16789168478400995,131.72699280501797148
"45",43.86085833584778726,135.46885419737313327
"46",43.09241401669730465,131.56976563049482820
"47",43.20374614489681875,131.47252329127573489
"48",43.04203597197133746,131.53925708218898194
"49",43.32172321622328326,132.37875163395926847
"50",43.08250267884226758,133.16171410279392262
"51",43.18356859722688057,133.10000559273828458
"52",43.33884584235308779,132.91600189828389489
"53",43.33827093480031323,132.94304290019539394
"54",43.33854377148001902,132.94341736906079632
"55",43.33983110966745755,132.89710267769689267
"56",43.24256617725463769,133.00680868789149258
"57",43.24364540955856029,133.00736302710370751
"58",43.23756544539841684,133.00462880234309182
"59",43.23581569858792761,133.00334282604489999
"60",43.23498641581164748,133.00012572412728673
"61",43.23593043161231719,132.37854116947801231
"62",43.29116058955654722,132.35872996220911091
"63",43.33917822352203331,132.90771375904270712
"64",43.33732378382691763,132.92018720948308896
"65",43.33774018396042749,132.94489071292071003
"66",43.34198044867181920,132.95322777385209179
"67",43.32624417041024145,132.38060378878930123
"68",43.23532732482055962,132.48025829673198928
"69",43.23760413850437345,132.49983400690319968
"70",43.22904541259411104,132.54931122329548998
"71",43.18962019600993330,132.42334640123098666
"72",42.92136541004082773,132.47520442294319309
"73",42.92443447832224734,132.57838472668549912
"74",43.21711801189090352,131.96546342765068971
"75",43.20862852072981042,131.96602681271059510
"76",43.20510079909235657,131.96742581577061060
"77",43.20072465885409940,131.96739399266570558
"78",43.19988694918202299,131.96601928263649484
"79",43.19894770479302792,131.96413615658860863
"80",43.19230546338931731,131.96147891007581165
"81",43.18710812141350885,131.96105496490309861
"82",43.18425479767410735,131.96201833577791263
"83",43.18228411277416257,131.96243704519321227
"84",43.17610306711269175,131.96020254243501313
"85",43.17211325739675232,131.96507928585830882
"86",43.16625841900623328,131.97437377574411244
"87",43.15768877807779802,131.97427696202510106
"88",43.15323885565955209,131.98166537633269968
"89",43.15289985741682699,131.98754836364238940
"90",43.14833207512973701,131.99565839567691228
"91",43.14624729218788701,131.99921693327078742
"92",43.09028870613649786,131.97733091774568948
"93",43.08838749882369257,131.97345813432070827
"94",43.08680901734056334,131.97249342052549537
"95",43.08363774528545065,131.96970367605288743
"96",43.08201070026782276,131.97010841394978797
"97",43.07765145537764795,131.96511284776559592
"98",43.07934479373675174,131.96487628295409422
"99",43.07647804853016993,131.95496106229938960
"100",43.07459974469770714,131.94578418273329135
"101",43.06828108506026354,131.93363563650999026
"102",43.07782755328067026,131.93220833437220563
"103",43.09658353280187271,131.91892450890060218
"104",43.11593330158879667,131.89796942873240937
"105",43.14508672744935325,131.92356502663940887
"106",43.14466202081288770,131.92284480004150282
"107",43.14335086600827651,131.93197519920050809
"108",42.90067376821112788,133.88942363684330417
"109",42.90096360735788750,133.88978953234970959
"110",42.72921626797816685,131.11257679883530614
"111",42.73358835203725192,131.12676312286228608
"112",42.73707540631637158,131.13204214935140612
"113",42.73894753537234692,131.13420429304369463
"114",42.74050823131548782,131.13627712821198656
"115",42.74152936234420253,131.13828829542950416
"116",42.74674583666526928,131.14772725164559120
"117",42.79000574651576017,131.16480049484090387
"118",42.79032803404722074,131.16432456020910990
"119",43.35459135159047150,132.50913381954561032
"120",43.35443460051973119,132.55333515162249114
"121",43.35320011196181866,132.62475509728400880
"122",42.89742318139474264,133.00402352085319535
"123",42.90395702214419771,132.99971095664039922
"124",42.90427010816708986,132.99859887758501031
"125",42.87623290399726983,132.99173839776059936
"126",43.42476816543184270,131.95022849986710867
"127",43.41972835953316689,131.95524290944558743
"128",43.49647760943209107,131.93815293164260538
"129",43.34038976215381922,132.95777138561720676
"130",43.34369314280188945,132.96388476554668046
"131",43.34754131568578117,132.96848430618967996
"132",43.35352528188540333,132.97855131528538664
"133",43.34045354106559955,132.95779484805899529
"134",42.75022530085009720,131.24528510066500075
"135",42.75716724449179651,131.19875110271800622
"136",42.75599442514260318,131.20422705374099337
"137",42.75609243766739809,131.20793790172299964
"138",42.75255061696490344,131.17453530581900623
"139",42.94293991224930096,131.49134333031599908
"140",42.97074401628349705,131.48580143196599579
"141",42.96065015262529840,131.47026102227698630
"142",42.95927289050690234,131.46754977344400572
"143",42.96032140807889732,131.47235071496999126
"144",42.94571659322139823,131.46944567647000213
"145",42.94647329361649923,131.47272856947299147
"146",42.96474388380040210,131.47832643147799558
"147",43.17669617049505604,131.75846428147127654
"148",43.17652740105154408,131.76194452737684060
"149",43.17801379561947783,131.75672986370236117
"150",43.18415648771750170,131.76956043677344610
"151",43.18760737139191974,131.77023102653515707
"152",43.18974903432626888,131.76820936509622584
"153",43.64756366273365984,131.92541400344737212
"154",43.65954660897816808,131.92905827334726609
"155",43.69727204543700338,131.95702622208921184
